Country;Year;Satisfaction;Vote;Age;Education;Community;Post_Stratification_Weight
HU;2002;5;Fidesz;41;Upper secondary education completed (ISCED 3);Country village;1,156496691
HU;2002;4;Fidesz;27;Tertiary education completed (ISCED 5-6);Country village;1,011243426
HU;2002;6;Other;28;Upper secondary education completed (ISCED 3);Country village;1,268206938
HU;2002;2;Other;18;Lower secondary education completed (ISCED 2);Country village;1,048911365
HU;2002;4;Other;22;Upper secondary education completed (ISCED 3);Country village;1,234156453
HU;2002;8;Other;74;Less than lower secondary education (ISCED 0-1);Country village;1,236012392
HU;2002;5;Other;71;Lower secondary education completed (ISCED 2);Country village;1,236012392
HU;2002;3;Other;57;Lower secondary education completed (ISCED 2);Country village;1,236012392
HU;2002;5;Fidesz;48;Tertiary education completed (ISCED 5-6);Country village;0,78797439
HU;2002;5;Other;50;Upper secondary education completed (ISCED 3);Country village;0,955628825
HU;2002;5;Other;63;Lower secondary education completed (ISCED 2);Town or small city;1,069403272
HU;2002;4;Other;63;Upper secondary education completed (ISCED 3);Town or small city;0,637148537
HU;2002;5;Other;61;Upper secondary education completed (ISCED 3);Town or small city;0,637148537
HU;2002;NA;Other;60;Upper secondary education completed (ISCED 3);Town or small city;0,637148537
HU;2002;7;Other;45;Upper secondary education completed (ISCED 3);Town or small city;0,955628825
HU;2002;3;Other;48;Upper secondary education completed (ISCED 3);Town or small city;1,156496691
HU;2002;2;Other;48;Upper secondary education completed (ISCED 3);Town or small city;1,156496691
HU;2002;4;Other;47;Lower secondary education completed (ISCED 2);Town or small city;0,970869464
HU;2002;3;Other;42;Upper secondary education completed (ISCED 3);Town or small city;1,156496691
HU;2002;5;Other;38;Upper secondary education completed (ISCED 3);Town or small city;0,955628825
HU;2002;NA;Fidesz;33;Upper secondary education completed (ISCED 3);Town or small city;1,268206938
HU;2002;8;Other;28;Upper secondary education completed (ISCED 3);Town or small city;1,234156453
HU;2002;7;Other;52;Upper secondary education completed (ISCED 3);Town or small city;0,955628825
HU;2002;7;Other;49;Upper secondary education completed (ISCED 3);Town or small city;0,955628825
HU;2002;5;Fidesz;81;Less than lower secondary education (ISCED 0-1);Town or small city;1,069403272
HU;2002;4;Fidesz;72;Lower secondary education completed (ISCED 2);Town or small city;1,236012392
HU;2002;3;Other;30;Upper secondary education completed (ISCED 3);Country village;1,227222248
HU;2002;3;Other;28;Upper secondary education completed (ISCED 3);Country village;1,194272174
HU;2002;5;Other;15;Lower secondary education completed (ISCED 2);Country village;1,015013658
HU;2002;5;Other;74;Lower secondary education completed (ISCED 2);Country village;1,034843327
HU;2002;5;Other;68;Less than lower secondary education (ISCED 0-1);Country village;1,034843327
HU;2002;3;Other;66;Less than lower secondary education (ISCED 0-1);Country village;1,196068135
HU;2002;3;Fidesz;57;Lower secondary education completed (ISCED 2);Country village;1,034843327
HU;2002;0;Other;48;Upper secondary education completed (ISCED 3);Country village;0,924745734
HU;2002;4;Other;49;Upper secondary education completed (ISCED 3);Country village;1,119122146
HU;2002;5;Other;34;Upper secondary education completed (ISCED 3);Country village;1,227222248
HU;2002;3;Fidesz;51;Upper secondary education completed (ISCED 3);Country village;0,930836157
HU;2002;0;Other;34;Upper secondary education completed (ISCED 3);Country village;1,235304797
HU;2002;0;Fidesz;33;Upper secondary education completed (ISCED 3);Country village;1,235304797
HU;2002;3;Other;30;Upper secondary education completed (ISCED 3);Country village;1,235304797
HU;2002;2;Fidesz;32;Lower secondary education completed (ISCED 2);Country village;1,115794512
HU;2002;NA;Other;27;Lower secondary education completed (ISCED 2);Country village;1,115794512
HU;2002;6;Other;22;Upper secondary education completed (ISCED 3);Country village;1,235304797
HU;2002;8;Other;19;Upper secondary education completed (ISCED 3);Country village;1,235304797
HU;2002;NA;Other;70;Less than lower secondary education (ISCED 0-1);Country village;1,041658859
HU;2002;NA;Other;58;Lower secondary education completed (ISCED 2);Country village;1,203945501
HU;2002;8;Fidesz;21;Upper secondary education completed (ISCED 3);Country village;1,235304797
HU;2002;5;Other;43;Lower secondary education completed (ISCED 2);Country village;0,95088123
HU;2002;6;Other;18;Lower secondary education completed (ISCED 2);Country village;1,02169859
HU;2002;NA;Fidesz;77;Less than lower secondary education (ISCED 0-1);Country village;1,041658859
HU;2002;5;Fidesz;64;Lower secondary education completed (ISCED 2);Country village;1,041658859
HU;2002;5;Other;68;Lower secondary education completed (ISCED 2);Country village;1,041658859
HU;2002;5;Other;43;Lower secondary education completed (ISCED 2);Country village;0,945681395
HU;2002;2;Fidesz;45;Tertiary education completed (ISCED 5-6);Country village;0,767531319
HU;2002;6;Fidesz;44;Less than lower secondary education (ISCED 0-1);Country village;0,945681395
HU;2002;5;Other;35;Upper secondary education completed (ISCED 3);Country village;1,126492742
HU;2002;1;Fidesz;38;Upper secondary education completed (ISCED 3);Country village;0,930836157
HU;2002;5;Other;39;Upper secondary education completed (ISCED 3);Farm or home in countryside;0,930836157
HU;2002;6;Other;68;NA;Town or small city;0,981839148
HU;2002;6;Other;66;Lower secondary education completed (ISCED 2);Town or small city;1,034843327
HU;2002;1;Fidesz;59;Lower secondary education completed (ISCED 2);Town or small city;1,034843327
HU;2002;3;Other;53;Tertiary education completed (ISCED 5-6);Town or small city;0,762509393
HU;2002;9;Fidesz;61;Upper secondary education completed (ISCED 3);Town or small city;0,616557785
HU;2002;9;Other;55;Lower secondary education completed (ISCED 2);Town or small city;1,196068135
HU;2002;3;Fidesz;45;Upper secondary education completed (ISCED 3);Farm or home in countryside;0,924745734
HU;2002;5;Fidesz;49;NA;Town or small city;0,978633705
HU;2002;7;Other;51;Lower secondary education completed (ISCED 2);Town or small city;0,93949384
HU;2002;4;Other;60;Lower secondary education completed (ISCED 2);Town or small city;1,196068135
HU;2002;2;Other;35;Upper secondary education completed (ISCED 3);Town or small city;1,119122146
HU;2002;3;Other;41;Upper secondary education completed (ISCED 3);Town or small city;1,119122146
HU;2002;2;Fidesz;29;Upper secondary education completed (ISCED 3);Town or small city;1,194272174
HU;2002;6;Other;29;Tertiary education completed (ISCED 5-6);Town or small city;0,978563035
HU;2002;3;Other;29;Upper secondary education completed (ISCED 3);Town or small city;1,194272174
HU;2002;5;Other;56;Upper secondary education completed (ISCED 3);Town or small city;0,616557785
HU;2002;4;Other;20;Upper secondary education completed (ISCED 3);Town or small city;1,194272174
HU;2002;3;Other;75;Less than lower secondary education (ISCED 0-1);Town or small city;1,034843327
